,채널,구독자수,제목,조회수,좋아요수,댓글수
0,지무비 : G Movie,2870000,그냥 찌질한 50대 백수 아저씬 줄 알고 개무시했는데 대한민국 NO.1 천재 의사+병원 면접관이었다..ㅠ 시청률 28.4% 레전드 드라마 컴백..!≪낭만닥터 김사부3≫ 1-2,938721,9652,866
1,지무비 : G Movie,2870000,내 아버지를 죽인 원수의 사위가 되기로 결심한 상상초월 충격적 이유ㄷㄷ이번엔 사악한 검사로 전직한 주여정이 역대급 미친 연기력으로 수목드라마1위 갈아치운 레전드 드라마 ≪나쁜엄마≫,892118,7308,505
2,지무비 : G Movie,2870000,와 미친.. 카지노 존이 순혈 100% 토종 한국인이었다고..!? 😱≪카지노≫&≪더 글로리≫ 진짜 억소리나는 역대급 캐스팅 비하인드  ㄷㄷ..,485255,5801,309
3,지무비 : G Movie,2870000,4교시만 58000번 반복되면 벌어지는 일.. ㄷㄷ  ≪4교시에 갇혔다≫,1170490,10908,653
4,지무비 : G Movie,2870000,"IQ 180 공부천재가 다 포기하고 평생 남편 뒷바라지만 해왔는데 남편이 개무시하고 바람까지피자, 각성해서 100일 만에 의사시험 수석으로 합격한 뒤 참교육하는 사이다 드라마 ㅋㅋ",1257882,12532,623
5,지무비 : G Movie,2870000,"와.. 미쳤다.. 24시간이 주어진 후,🔥시간=돈🔥으로 생활하게 되는 인타임 실사판 예능.. 드디어 ≪더 지니어스≫를 능가하는 역대급 서바이벌 예능이 떴다..! ≪더 타임 호텔≫",476290,4439,406
6,지무비 : G Movie,2870000,"≪카지노≫ 최고의 씬 스틸러, 호구시점으로만 다시 몰아보면 어떤 느낌일까..ㅠㅠ 당신은 안 속을 수 있을까..?  + 디즈니 4월 G리는 신작들..! (feat. 방탄 슈가)",863877,7341,546
7,지무비 : G Movie,2870000,대한민국 최고의 톱스타가 가스라이팅 세계 챔피언과 결혼하면 벌어지는 일 ㅋㅋㅋ 태어나서 처음보는 역대급 병맛영화 ㅋㅋㅋ≪킬링로맨스≫,1112970,9671,646
8,지무비 : G Movie,2870000,미끼 궁예질,158990,1744,69
9,지무비 : G Movie,2870000,이 개빡치는 사건을 드라마로 만들었다고..!?🔥5조 원 먹튀🔥..! 대한민국 역사상 최악의 사기꾼을 물 오른 허성태가 연기로 찢어버리는 드라마 ≪미끼Part.1≫한방에 몰아보기,965999,7830,372
10,지무비 : G Movie,2870000,일반인 찐따남이 탑가수 아이유 번호 따는 쌉천재적인 방법 ㅋㅋㅋㅋ 미쳤다.. ≪프로듀사≫,2480282,12402,949
11,지무비 : G Movie,2870000,"괴생명체 습격으로 지구 멸망 위기에 처하자, 고3까지 모두 강제 입대시켰는데, 전투 재능 개쩌는 군필 여고생이 하드캐리를 시작한다.. 전설의 웹툰 ≪방과 후 전쟁활동≫ 실사 드라마",1932391,15222,2968
12,지무비 : G Movie,2870000,"신체능력 1인데 지능 999로 전설이 된 첩보요원에게, 초 빅데이터 암흑세력이 작정하고 살인 누명을 씌우자 보여주는 상상초월 대응법 ㅋㅋㅋㅋ ≪래빗홀≫ 뇌피셜 리뷰",1104176,12087,554
13,지무비 : G Movie,2870000,연진이가 선한 연기를.. 그것도 사극에서 하면 벌어지는 일..ㅋㅋㅋ 와 연기 온도차 미쳤다..!,398430,3881,248
