,이름,채널ID,동영상ID,조회수,좋아요수,댓글수
0,쯔양,UCfpaSruWW3S4dibonKXENjA,yzsrWBp3nFo,674190,23776,680
1,쯔양,UCfpaSruWW3S4dibonKXENjA,LnpoLJ1PLFM,838678,25347,832
2,쯔양,UCfpaSruWW3S4dibonKXENjA,-kYYmiDGc-Y,2298799,88550,7433
3,쯔양,UCfpaSruWW3S4dibonKXENjA,rilnZ_dW2Hg,1381888,38351,846
4,쯔양,UCfpaSruWW3S4dibonKXENjA,02LzJVZCqt0,2773625,55491,1167
5,쯔양,UCfpaSruWW3S4dibonKXENjA,hM9LGb1vdrc,1194996,30644,674
6,쯔양,UCfpaSruWW3S4dibonKXENjA,v0Uf-GJDDeM,1176348,30180,476
7,쯔양,UCfpaSruWW3S4dibonKXENjA,aQgrA3YISDw,1425693,36925,1787
8,쯔양,UCfpaSruWW3S4dibonKXENjA,9oLhNKQUq-M,1849755,47182,740
9,쯔양,UCfpaSruWW3S4dibonKXENjA,lN9I5uvVA04,2858640,65616,1607
10,쯔양,UCfpaSruWW3S4dibonKXENjA,p4kSz4VJj4Q,1329602,30717,855
11,쯔양,UCfpaSruWW3S4dibonKXENjA,O8ZmCAxLyLI,1073886,23877,541
12,쯔양,UCfpaSruWW3S4dibonKXENjA,oIekVa6OA-8,1659037,38627,696
13,쯔양,UCfpaSruWW3S4dibonKXENjA,JNkmE4CX84E,2291383,51236,920
14,쯔양,UCfpaSruWW3S4dibonKXENjA,tkXHVfZ8noU,1769389,34088,1024
15,쯔양,UCfpaSruWW3S4dibonKXENjA,cHKKRP4aOQw,1638104,32367,785
16,쯔양,UCfpaSruWW3S4dibonKXENjA,bLU28fVWX_s,2477187,57114,825
17,쯔양,UCfpaSruWW3S4dibonKXENjA,snpnv6kBB3U,2020516,48122,849
18,쯔양,UCfpaSruWW3S4dibonKXENjA,ZsJ7y3NSXIM,2642817,57378,1001
19,쯔양,UCfpaSruWW3S4dibonKXENjA,di27zwr6s9I,2108219,41225,736
20,쯔양,UCfpaSruWW3S4dibonKXENjA,Ybz9loB46ew,3166669,69001,936
21,쯔양,UCfpaSruWW3S4dibonKXENjA,WsKuj7jrmMc,1186415,27469,576
22,쯔양,UCfpaSruWW3S4dibonKXENjA,qp5ZhELz-OI,1650279,39262,727
23,쯔양,UCfpaSruWW3S4dibonKXENjA,sdDrR_L_ncQ,3144098,55060,1187
24,쯔양,UCfpaSruWW3S4dibonKXENjA,11MTBs8k15g,816980,14526,332
25,쯔양,UCfpaSruWW3S4dibonKXENjA,mtGRwDtU35E,3253041,66347,1302
26,쯔양,UCfpaSruWW3S4dibonKXENjA,5P9YmF-GjLI,7067833,155667,2717
27,쯔양,UCfpaSruWW3S4dibonKXENjA,czjsOPq0sDc,3541762,65898,1861
28,쯔양,UCfpaSruWW3S4dibonKXENjA,skXGx1pIam8,1679829,42473,697
29,쯔양,UCfpaSruWW3S4dibonKXENjA,MN5cxevTa_M,2497413,57942,1132
30,쯔양,UCfpaSruWW3S4dibonKXENjA,Dzo7cB0MtbI,1180041,30419,598
31,쯔양,UCfpaSruWW3S4dibonKXENjA,WG6E8dCo3sE,4529544,71822,1447
32,쯔양,UCfpaSruWW3S4dibonKXENjA,LNj0S7B5sEY,2017048,41392,882
33,쯔양,UCfpaSruWW3S4dibonKXENjA,zPy7VeF0YSY,1816030,46366,1348
34,쯔양,UCfpaSruWW3S4dibonKXENjA,lhs_QyVeEgs,2291027,43667,727
35,쯔양,UCfpaSruWW3S4dibonKXENjA,enAwNKQDpxM,3397275,75586,1383
36,쯔양,UCfpaSruWW3S4dibonKXENjA,CopqpabihGk,9317219,156591,3262
37,쯔양,UCfpaSruWW3S4dibonKXENjA,LyxdItZU_4I,2156582,51411,1156
38,쯔양,UCfpaSruWW3S4dibonKXENjA,VwdegbFqNaI,1000822,18261,359
39,쯔양,UCfpaSruWW3S4dibonKXENjA,VfNeiJ3ZXzY,2418468,45233,1043
40,쯔양,UCfpaSruWW3S4dibonKXENjA,HvTLbeasXS4,4139038,73517,2098
41,쯔양,UCfpaSruWW3S4dibonKXENjA,HT3oGmsf1xo,2107898,50780,818
42,쯔양,UCfpaSruWW3S4dibonKXENjA,kf1zff2xJuA,1527360,37665,1285
43,쯔양,UCfpaSruWW3S4dibonKXENjA,yupbldBCjE4,1545428,38303,674
44,쯔양,UCfpaSruWW3S4dibonKXENjA,79LHvfqyC_0,3670454,68879,1095
45,쯔양,UCfpaSruWW3S4dibonKXENjA,AAfhrt88mws,2456339,53422,895
46,쯔양,UCfpaSruWW3S4dibonKXENjA,dRO4cbYyNvE,1141569,31232,520
47,쯔양,UCfpaSruWW3S4dibonKXENjA,SVtf7xT5J64,1163816,27666,570
48,쯔양,UCfpaSruWW3S4dibonKXENjA,IYJ9NDTHOPs,1676722,40076,810
49,쯔양,UCfpaSruWW3S4dibonKXENjA,f0CLSz_6LDE,2597130,51980,976
50,햄지,UCPKNKldggioffXPkSmjs5lQ,vtwHpH7d6KY,237641,10733,499
51,햄지,UCPKNKldggioffXPkSmjs5lQ,E8-W4MP8Gc8,64808,3155,41
52,햄지,UCPKNKldggioffXPkSmjs5lQ,HCYbJoSZN-0,256731,8393,126
53,햄지,UCPKNKldggioffXPkSmjs5lQ,gGKR-wFtKvg,1607569,32579,837
54,햄지,UCPKNKldggioffXPkSmjs5lQ,XwaLk8aZwK8,156337,7112,54
55,햄지,UCPKNKldggioffXPkSmjs5lQ,FYdH0R1gv1I,173053,6193,84
56,햄지,UCPKNKldggioffXPkSmjs5lQ,IUrsbGbRUWU,836266,19514,661
57,햄지,UCPKNKldggioffXPkSmjs5lQ,InU4Y0NwdGs,122069,5873,47
58,햄지,UCPKNKldggioffXPkSmjs5lQ,aaJeqXyejnw,2581534,41184,1026
59,햄지,UCPKNKldggioffXPkSmjs5lQ,h2VWeZFEyoE,381206,16481,158
60,햄지,UCPKNKldggioffXPkSmjs5lQ,Xfnd8HwxjZ0,1092393,24068,665
61,햄지,UCPKNKldggioffXPkSmjs5lQ,lUu9u0eBOrc,385021,20572,151
62,햄지,UCPKNKldggioffXPkSmjs5lQ,bMGTKkM_QqY,1937207,35175,744
63,햄지,UCPKNKldggioffXPkSmjs5lQ,pAoCEB2tK60,365691,14991,94
64,햄지,UCPKNKldggioffXPkSmjs5lQ,we8oMmCQ28Q,279306,9712,126
65,햄지,UCPKNKldggioffXPkSmjs5lQ,9vb198_BGhY,1675939,33611,784
66,햄지,UCPKNKldggioffXPkSmjs5lQ,2ns6AD8qSoM,271827,10810,135
67,햄지,UCPKNKldggioffXPkSmjs5lQ,I8fUnf8W0BI,2662678,46906,846
68,햄지,UCPKNKldggioffXPkSmjs5lQ,Ql9s5PMHNbg,195297,7481,69
69,햄지,UCPKNKldggioffXPkSmjs5lQ,XFRgobeAokM,2173984,37194,837
70,햄지,UCPKNKldggioffXPkSmjs5lQ,-4WjP-Q7CWA,238589,9359,59
71,햄지,UCPKNKldggioffXPkSmjs5lQ,dPYREVBmHGg,325828,9391,174
72,햄지,UCPKNKldggioffXPkSmjs5lQ,xs6UVpISs8Q,2530437,41483,824
73,햄지,UCPKNKldggioffXPkSmjs5lQ,gi2-QPJgwQg,199657,8802,77
74,햄지,UCPKNKldggioffXPkSmjs5lQ,M-mB0Nvre70,502973,15734,438
75,햄지,UCPKNKldggioffXPkSmjs5lQ,dsxB9MH3yK8,1783123,34069,1061
76,햄지,UCPKNKldggioffXPkSmjs5lQ,eDkEj5kJdZI,330387,11656,98
77,햄지,UCPKNKldggioffXPkSmjs5lQ,5T068SQoPT4,1593967,32989,743
78,햄지,UCPKNKldggioffXPkSmjs5lQ,iJxOavMMKj0,512840,13651,143
