,이름,채널ID,동영상ID,제목,조회수,좋아요수,댓글수
0,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,1SmyVCmoRD8,"ASMR RAINBOW FOODS *EDIBLE DICE, CANDY, UNICORN STICK 무지개 케이크, 주사위 먹방 MUKBANG",56008,1602,144
1,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,rmRx0CBU86s,watermelon 수박 먹방 #shorts,42768,1315,10
2,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,DTkT6ToYwgc,"ASMR CONVENIENCE STORE *HAMBURGER, FIRE NOODLES, SAUSAGE 편의점 먹방 MUKBANG",93819,3085,199
3,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,vGwKEwyfJv4,rainbow watermelon 수박 젤리 먹방 #shorts,61462,1828,15
4,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,_QkYkC11IN0,ASMR WATERMELON TANGHULU CANDIED STRAWBERRY 수박 딸기 탕후루 먹방 MUKBANG,100775,2419,163
5,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,FoWsnfq56kc,jelly 젤리 먹방 #shorts,85924,2612,22
6,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,ObeN7fpWXMs,"ASMR RAINBOW CUBE, WAX STICKS, RAINBOW KOHAKUTO 큐브 왁스 코하쿠토 먹방 MUKBANG",113772,2172,162
7,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,qX2JEh2DGGI,Edible spoon 숟가락 먹방 #shorts,237492,5286,25
8,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,pjRhtWsAWAk,"ASMR BIRTHDAY CAKE 🌹 꽃 케이크 ROSE, FLOWER, MOUSSE CAKE 먹방  MUKBANG",117872,3596,320
9,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,Wts-ngIB1Qc,rainbow jelly 레인보우 젤리 먹방 #shorts,77138,2261,18
10,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,MT83_Ud1sTw,"ASMR MUKBANG WATERMELON DESSERT, EDIBLE SPOON 수박 숟가락 먹방",121704,2304,162
11,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,JD3FUlAKFJM,pink ice cream #shorts,118977,4025,31
12,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,31nPbRPgD0o,"ASMR BASKETBALL, WATERMELON, EARTH, EYEBALL JELLY MUKBANG 농구공 젤리 먹방",245535,2961,184
13,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,1rP1iacmYTo,who loves rainbow? #shorts,81448,2633,19
14,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,qlw7F-HcXf4,ASMR MUKBANG ICE CREAM PARTY 아이스크림 먹방,119994,2641,212
15,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,q16UnuQcIMo,bubble tea 버블티 먹방 #shorts,122023,3713,33
16,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,HV_42qdVhTY,ASMR KOREAN CONVENIENCE STORE MUKBANG 한국 편의점 먹방,182756,4723,317
17,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,zresO7A8Zeo,edible dice 주사위 먹방 #shorts,119471,2878,25
18,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,aQ7BNtT0WTk,"ASMR BOBA BUBBLE TEA *STRAWBERRY, MANGO, GREEN TEA 보바 버블티 먹방 MUKBANG",183422,3666,239
19,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,txmdWOlXgK4,strawberry 딸기 먹방 #shorts,113466,3565,26
20,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,EA_7Pz5zLkU,ASMR STRAWBERRY DESSERTS *STRAW WAFER ROLL PINK MUKBANG 딸기 먹방,166894,3213,190
21,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,sJy2TnpK8wg,chocolate 초콜릿 먹방 #shorts,97553,3292,21
22,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,mExTolXRosc,"ASMR CHOCOLATE COVERED STRAWBERRY, CAKE POP 초코 딸기 먹방 MUKBANG",171698,3316,200
23,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,Ii13i3IVMNI,Edible spoon 숟가락 먹방 #shorts,402966,9056,36
24,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,2KUmM0892T4,"ASMR RAINBOW DESSERTS *EDIBLE SPOON, DICE CANDY 레인보우 먹방 먹는 숟가락MUKBANG",217066,2557,187
25,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,yp7qptTjESg,Tanghulu 탕후루 먹방 #shorts,120594,3316,15
26,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,aAq_VYuGEjE,ASMR DICKMANNS CHOCOLATE MARSHMALLOW MUKBANG 딕만스 먹방,196960,4266,281
27,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,wfKedPAHzx0,Peach chocolate 복숭아 초콜릿 먹방 #shorts,94591,3098,27
28,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,4jLS3CwJXT0,Tanghulu 탕후루 먹방 #shorts,131564,4171,24
29,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,xbAIhgciY7I,Who loves rainbow? #shorts,104233,2909,19
30,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,eZ2Sq5eJUKM,dickmanns 딕만스 먹방 #shorts,89621,2926,21
31,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,CjIYV827Fbk,Tanghulu 탕후루 먹방 #shorts,988374,18693,30
32,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,XWxd_r6cusQ,ice cream 아이스크림 먹방 #shorts,231025,6837,25
33,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,0tomBCAUwnI,Honey jelly 꿀젤리 먹방 #shorts,100932,3166,31
34,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,gjdydqUgs4g,cotton candy 솜사탕 먹방 #shorts,79388,2536,15
35,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,elkLZMN6Pr8,honey jelly 꿀젤리 먹방 #shorts,84829,2916,20
36,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,xqFiFlSxhow,Honey jelly 꿀젤리 먹방 #shorts,78790,2661,19
37,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,AuOk4ZmjcYs,edible spoon 숟가락 먹방 #shorts,68490,2369,17
38,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,G99EmiWzgGw,BLACK BEAN NOODLES 짜장면 먹방 #shorts,68468,2523,25
39,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,7bdjz_D79jY,"ASMR EDIBLE iPhone, EDIBLE CRAYON, RAINBOW OREO, COTTON CANDY 먹는 아이폰, 구미첼 먹방 MUKBANG",249623,3061,212
40,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,l804ENzdscs,seaweed 김 먹방 #shorts,112810,3047,17
41,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,3TErNiVcMqM,chocolate 초콜릿 먹방 #shorts,124897,3435,22
42,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,Wpbhi3CAO-Y,watermelon dessert 수박 먹방 #shorts,91274,2620,13
43,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,rWLY_OUb-ac,ASMR PINK BEAR DESSERTS 핑크 베어 디저트 MUKBANG 먹방,212352,3788,252
44,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,H17w70ixijM,watermelon jelly 수박 젤리 #shorts,224254,5202,24
45,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,yfuQaZc-NFU,rainbow mochi #shorts,123038,3519,32
46,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,Qf2FhDNDP0I,hot cheetos 치토스 먹방 #shorts,74963,2378,18
47,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,cR6ZjD8JobA,jelly 젤리 먹방 #shorts,47050,1791,8
48,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,_9R3b9afjA4,who loves rainbow? #shorts,102027,3079,18
49,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,dpN0BjzqIkw,edible iPhone 아이폰 먹방 #shorts,66914,1996,18
50,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,JkTJeXmmXg8,black bean noodles 짜장면 먹방 #shorts,75536,2983,39
51,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,rMW07_q5uWU,Cheese hot dog 치즈 핫도그 먹방 #shorts,66749,2283,27
52,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,cVyN1g6C0NE,"ASMR WATERMELON DESSERT, BIRD GLASS 새소리 물병 MUKBANG 수박 먹방",164770,2618,175
53,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,e89x2rhAhqs,hot cheetos 치토스 먹방 #shorts,192176,4942,29
54,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,5snzP2Ti5b0,jelly 젤리 먹방 #shorts,82695,2531,23
55,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,YplAQ-aoPNE,donut jelly 도넛 젤리 먹방 #shorts,79117,2269,12
56,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,9DGfQe9EmXM,edible pop it 팝잇 먹방 #shorts,96169,2686,16
57,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,knU6JGDiTdI,edible spoon 숟가락 먹방 #shorts,270629,6669,23
58,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,Yaq5PkySUs0,"ASMR RAINBOW DESSERTS, EDIBLE SPOON 레인보우 먹는 숟가락 먹방 MUKBANG",219590,3037,192
59,Jane ASMR 제인,UC2fsxQr6Hcx1enORxXgKpxQ,COT7-yrKR74,bird glass 새소리 물병 먹방 #shorts,84470,2493,18
