comment_id,comment,video_id
Ugz0_nLbPagH02GZZ3F4AaABAg,형의 호기심 덕분에 개발자들이 숨겨 놓은 디테일 다 찾은 듯 ㅋㅋㅋㅋㅋㅋ 거북이 개웃겨ㅠㅋㅋㅋㅋ,S1irD7QWvkw
UgytrgiTwx-ktFWYCP94AaABAg,생방때 여러가지 결말 보려고 계속 게임 반복하는게 개웃겼는데 ㅋㅋㅋㅋㅋㅋㅋ 다른 스트리머들도 그렇게까진 안하더라... 역시 우좜마,S1irD7QWvkw
UgwoAj6y6leJ7PmOmkZ4AaABAg,확실히 100년에 한번만 나와야 할 게임이긴 하다ㅋㅋㅋㅋㅋ후기 압도적 긍정적인거 진짜 어이없고 웃기다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,S1irD7QWvkw
Ugz-z9H7sBasQT3E68h4AaABAg,거북이에서 겁나웃겼네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ보여줄 수 있는 엔딩들 찾아서 다 보여줘서 너무좋앜ㅋㅋㅋ,S1irD7QWvkw
UgylncpN3d_LK6laGSh4AaABAg,가끔씩 우좜마가 이런 겜 할때마다 특유의 호기심으로 다양한 엔딩을 보려고 노력하고 시청자랑 소통하는게 넘 좋은것 같음..,S1irD7QWvkw
UgxFWleQEVDWzHLjGCF4AaABAg,"🍍🍕🌋반전게임 파온피 타임라인📌
0:17 시작
0:33 저녁식사설
0:56 와이퍼설
1:09 평행우주설
1:38 한국인 괴롭힘설
1:48 갈매기설
1:56 탭댄서설
2:01 거북이설
2:11 원진스설
2:24 커플설
2:41 멀리뛰기 선수설
2:47 출산설
2:58 등산
3:32 찐게임 시작
4:28 탈출엔딩
6:04 2트
6:09 협동
6:32 아기 구하기
7:07 3트
7:10 거북쓰
7:30 갈매기쓰

이렇게 이 게임을 자세하게 하나하나씩 보니까 진짜 재밌네요ㅋㅋㅋ
최고의 게임!!",S1irD7QWvkw
UgzGk71TJHQwJHwkcul4AaABAg,"편집본은 몇 개만 보여줬네ㅋㅋ
생방 때 다들 그만하라고 할 때까지 거의 뭐 온갖 캐릭터 엔딩 다 보여줬으니까 생방 꼭 보셔요 여러분ㅋㅋㅋㅋㅋㅋ🤦🏻‍♀️",S1irD7QWvkw
UgwFWmus5DgPb74al-p4AaABAg,ㅋㅋㅋㅋㅋㅋㅋㅋ구석구석 보려고 피자 계속 만들엌ㅋㅋㅋㅋㅋㅋ 보통 엔딩만 보고 나가고 어떻게 보면 엔딩 허무할 수 있는데 형 덕분에 진짜 재밌었음ㅋㅋㅋㅋㅋㅋ,S1irD7QWvkw
UgxunKrCvC1SMFQKHi94AaABAg,하마형이 예상하는대로 진행되는게 개웃겨ㅋㅋㅋ,S1irD7QWvkw
Ugzr4oESFkv-dlrEQmR4AaABAg,이 게임으로 1시간 넘게 분량 뽑은게 정말 대단하다 형아,S1irD7QWvkw
UgwbOhOy3h6y8ccwEwZ4AaABAg,마지막 장면에서 진짜 조마조마 했다고..ㅋㅋㅋㅋㅋㅋㅋㅋㅋ볼때마다 너무 어려워서 내가 다 빡쳤는데 막상 다 깨니까 뭔가 시원섭섭해ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,CmbDWEZ8XqY
Ugxmu-P06Tlo_-6zsLt4AaABAg,화난 하마보는맛으로 산다 ㄹㅇ,CmbDWEZ8XqY
Ugyxvno2QD5zTo_6Tg14AaABAg,안일어나는거 진짜 개웃긴다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠ 아빠 안잔다 ㅋㅋㅋㅋㅋㅋㅋ전주면 옆동네 사시네요 개발자님 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개발자님도 팬미팅 원하는 사람들 계속 늘어나서 행복하실듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,CmbDWEZ8XqY
Ugwxcz7Tggo27J5nyyl4AaABAg,절대 화가 많지 않은... 우리 우주하마 님께서 마침내 아름다운 엔딩을 보셨군요.(T﹏T`) 개발자님께 드릴 선물 준비에 보태시라고 약소한 갹출금을 부조합니다ㅎㅎ 이 용감한 산타 기사가 앞으로 써 내려갈 무용담 역시 기대하고 있겠습니다!ت,CmbDWEZ8XqY
UgxgWriImzkB61ZN3tl4AaABAg,"지난 이야기까지 만들 정도로 이어지고 또 이어지네ㅋㅋ 빡침은 계속된다ㅋㅋㅋㅋㅋㅋ
아쉽다 주말드라마급으로 계속 해주길 기다렸는데 해내는 하마찡 보며 이렇게 아쉬울수가ㅋㅋㅋㅋ",CmbDWEZ8XqY
Ugz2mKr0VCC5vIZhziV4AaABAg,기절했을 때 말하는거 너무 웃곀ㅋㅋㅋㅋㅋㅋㅋㅋ손바닥 다 빨개졌네 말 왜케잘해 우주하마 못잃어 오래오래 겜해줘,CmbDWEZ8XqY
Ugy5zh7-AoAMI0Sb1Hx4AaABAg,"엔딩마저 신이 돕는ㅋㅋㅋㅋㅋ진짜 형이
최고얔ㅋㅋㅋㅋㅋㅋㅋ",CmbDWEZ8XqY
