comment_id,comment,video_id
Ugz7tHFFTCB2uIzyG6Z4AaABAg,"퍼펙트 파워쉐이크 20g로 단백질 충전하세요~💪
👉영상 속 제품 보러가기 > https://bit.ly/3Ld9c0M

📣칼로바이 패밀리페스타 최대48% 세일 중📣",yMxZjeZl698
UgxTlN0iQ9FRrdTRhK94AaABAg,진짜 컨텐츠력이 장난이 아니에요 🤣 궁둥이 무슨일 💟,yMxZjeZl698
UgxI1AC1uxeA0lz3SG94AaABAg,그의 진심 연기 닛몰캐쉬도 감동☺ 그는 진정한 근육남자🦅 메이드남은 진정한 시대 소협입니다👏👏 그의 헬스는 감동을 부른다😭😭😭,yMxZjeZl698
UgyUpRCAmfwx5EYmTk54AaABAg,2:04 아니 과로사가 왜 빌고 있어ㅋㅋㅋㅋㅋㅋㅋㅋ,yMxZjeZl698
Ugy3r6hDDkeSp3i788N4AaABAg,피지컬 갤러리라서 무슨 철학적인 영상일 줄 알았는데 닛몰캐쉬 ㅋㅋㅋㅋㅋㅋㅋ,yMxZjeZl698
Ugydjcjwh9MpUBbypLl4AaABAg,맨 마지막에 가서야 정상적인 광고인 척 하지 말라고 ㅋㅋㅋㅋ,yMxZjeZl698
UgzcsFGjgTteUqLgkTJ4AaABAg,편집력과 구독자 규모 사이의 괴리,yMxZjeZl698
UgyGXai8WAOlrxBCLe54AaABAg,김계란 전거근 폼 미쳤다....,yMxZjeZl698
UgxHdROpHZr3SPi0KFR4AaABAg,"육준서 Q&A - 가장 즐겨보는 채널 : 피지컬갤러리..
김계란X육준서 콜라보 존버합니다..",yMxZjeZl698
Ugxakms3TV0yGbPM2UF4AaABAg,메이드복 왤케 잘어울리시는건데요ㅋㅋㅋㅋㅋㅜㅜㅜㅜ,yMxZjeZl698
UgwHfagPuEWDj_LUjex4AaABAg,이번 중계 멘트가 너무 재밌읍니다 잘 봤읍니다,rbWUTFKKJ4k
UgwpN6pK7Vkskrp5ax14AaABAg,김계란보면서 진짜 중량치고싶어 미칠듯,rbWUTFKKJ4k
UgwklY3PmJ6PU3GSAJp4AaABAg,ㅎㄷㄷ,rbWUTFKKJ4k
UgyVNfjEYMql8bKLNr14AaABAg,자 드가자~,rbWUTFKKJ4k
UgzBMSz3ihrwXgcwYvB4AaABAg,hdex 3대 800안되면 못 입는거네요 언더아머처이럼,rbWUTFKKJ4k
