,category,channel_id,channel_name,channel_logo,subscribers_count,videos_count,total_views
0,ANIMAL,UC22go5LdQEw-iDuxFb4C0hw,SBS TV동물농장x애니멀봐,https://yt3.ggpht.com/PFxInKn471tSEbMbVYjD6ywZQNf4YeOy9XcHzcdWDpO0zT27bZoYliIIMuBVXmHBTX0jVaPP=s800-c-k-c0x00ffffff-no-rj,4830000,4183,4646738434
1,ANIMAL,UCmLiSrat4HW2k07ahKEJo4w,크림히어로즈,https://yt3.ggpht.com/NYqzhjbY6EYcolCeLPgieC1Kj4p40ihw37blsuucCMN1M8ow6t0jg97frhDNZjesv4p6-5N8=s800-c-k-c0x00ffffff-no-rj,3770000,1110,1621723650
2,ANIMAL,UCLsj_Re3SxtkbZfX_ypY1eQ,수리노을SuriNoel,https://yt3.ggpht.com/ytc/AGIKgqN9sg6j8ozR0zPo75oi-L_IsHYt9txq3AyV_We-ifI=s800-c-k-c0x00ffffff-no-rj,2130000,1207,824548951
3,ANIMAL,UCYaBl0gtXV_3sHW4bQjq0hA,22똥괭이네,https://yt3.ggpht.com/ytc/AGIKgqNqCzBtzK5kw22YTs-LFp_owJHl2Z_T8wEWkIns=s800-c-k-c0x00ffffff-no-rj,297000,1721,160015659
4,ANIMAL,UC29-IlHm6kbDB1ox8GthODw,매탈남,https://yt3.ggpht.com/ytc/AGIKgqPDX87tnwyAWmJs2De654cOIhr5uIndy0tIVTklzw=s800-c-k-c0x00ffffff-no-rj,412000,552,149372386
5,ANIMAL,UCP1CQH2PVJv4-glNTuVJl3g,밀키복이탄이MilkyBokiTan,https://yt3.ggpht.com/zyXNGFCO4xxchNr8TJbk8UTSeBEinbfM3KHhhwxilB8I3O9oIOz2c9BtlGSQmMrMiSxe5pAe9Q=s800-c-k-c0x00ffffff-no-rj,2060000,570,745385749
6,ANIMAL,UCij19II32Olbu8_vghmYNCA,슈앤트리 SHU AND TREE,https://yt3.ggpht.com/ytc/AGIKgqPr5FrF0bmS5ZgS8R1chm8tPtJoq5mgkFJSwgbkNA=s800-c-k-c0x00ffffff-no-rj,1750000,559,422117757
7,ANIMAL,UCOv1v2iptqYMVEwLAIUOhPw,정브르,https://yt3.ggpht.com/ytc/AGIKgqNLIFKFFFN-0p9LdKFH04Zn3E36hWQYCBWS5LWMRg=s800-c-k-c0x00ffffff-no-rj,1280000,1924,682243896
8,ANIMAL,UCwl9OALh8IMwSv_kFdHlMDA,다흑,https://yt3.ggpht.com/ytc/AGIKgqPFq_I0f8kQp_2Iot84FMUQuVe_SOMpRW0kTYYPGw=s800-c-k-c0x00ffffff-no-rj,906000,2820,636880392
9,ANIMAL,UCOp66Vup07X0YziXaaxqs2A,haha ha,https://yt3.ggpht.com/ytc/AGIKgqPu5x89LNCCc9lSn__XMw-Cj41ng1NQ4f7562UNnQ=s800-c-k-c0x00ffffff-no-rj,1210000,594,480678653
